tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,257,0.02,0.03,0.05,21837.88,0
yolo11tiny_1.3.1,stress,258,0.02,0.02,0.04,26906.31,0
yolo11tiny_1.3.1,stress,259,0.02,0.05,0.07,15228.35,0
yolo11tiny_1.3.1,stress,260,0.04,0.02,0.07,14851.56,0
yolo11tiny_1.3.1,stress,261,0.02,0.04,0.07,15009.38,0
yolo11tiny_1.3.1,stress,262,0.02,0.06,0.08,12170.34,0
yolo11tiny_1.3.1,stress,263,0.02,0.02,0.04,24870.05,0
yolo11tiny_1.3.1,stress,264,0.02,0.03,0.05,19077.78,0
yolo11tiny_1.3.1,stress,265,0.02,0.02,0.04,28037.91,0
yolo11tiny_1.3.1,stress,266,0.05,0.03,0.08,12875.48,0
yolo11tiny_1.3.1,stress,267,0.03,0.03,0.07,15094.34,0
yolo11tiny_1.3.1,stress,268,0.02,0.02,0.04,23369.4,0
yolo11tiny_1.3.1,stress,269,0.02,0.04,0.05,18794.17,0
yolo11tiny_1.3.1,stress,270,0.02,0.03,0.05,20583.33,0
yolo11tiny_1.3.1,stress,271,0.03,0.03,0.05,18648.02,0
yolo11tiny_1.3.1,stress,272,0.02,0.02,0.04,23552.13,0
yolo11tiny_1.3.1,stress,273,0.02,0.02,0.04,22770.23,0
yolo11tiny_1.3.1,stress,274,0.06,0.04,0.09,10680.91,0
yolo11tiny_1.3.1,stress,275,0.01,0.02,0.03,30769.23,0
yolo11tiny_1.3.1,stress,276,0.04,0.03,0.06,15424.24,0
yolo11tiny_1.3.1,stress,277,0.02,0.03,0.05,21937.52,0
yolo11tiny_1.3.1,stress,278,0.02,0.02,0.03,29304.03,0
yolo11tiny_1.3.1,stress,279,0.02,0.03,0.05,20134.09,0
yolo11tiny_1.3.1,stress,280,0.01,0.02,0.03,29666.55,0
yolo11tiny_1.3.1,stress,281,0.01,0.04,0.06,17467.25,0
yolo11tiny_1.3.1,stress,282,0.02,0.02,0.03,30227.0,0
yolo11tiny_1.3.1,stress,283,0.03,0.02,0.05,20725.39,0
yolo11tiny_1.3.1,stress,284,0.02,0.03,0.05,20425.67,0
yolo11tiny_1.3.1,stress,285,0.02,0.02,0.04,26666.67,0
yolo11tiny_1.3.1,stress,286,0.03,0.02,0.05,19077.78,0
yolo11tiny_1.3.1,stress,287,0.07,0.05,0.12,8287.27,0
